Gyan Sikha Boarding High School,85.3175122,27.6732994
Himalayan Ayurveda Medical Science College,85.315503,27.6727107
Himalayan White House Open School,85.3163134,27.6755264
Prerana Kids Courtyard,85.315743,27.6742901
Sagarmatha Boarding High School,85.3156271,27.6742054
Aberdeen Int'l College,85.3177053,27.6728012
Vidya Vikash Boarding High School,85.3188426,27.6732753
apex life school,85.3377305,27.6990267
 ,85.3271716,27.6871904
The Quest Library,85.3236061,27.6897905
Gyanodaya Library,85.310027,27.6832378
The American Library,85.3362542,27.7383315
 ,84.4519373,27.6860501
IEC College of Art +ACY- Fashion,85.3365159,27.7233063
Bishalnagar Library,85.334917,27.7182665
Kathmandu English School,85.3324399,27.7132927
Everest College of Multiple Studies,85.3128745,27.719856
Satyam Day Care Center,85.3154979,27.7239062
Westwood International Pre School,85.3134439,27.7225939
Kinder Care International,85.3096223,27.7204411
Sacred Cosmos International Education Foundation Pre School,85.3132038,27.7260679
school,84.1580534,28.1959091
Cute Child's Montessori,85.3126767,27.7283845
NavaJyoti College of Management,85.3482625,27.6824493
Shreekhanda Motor Driving School,85.3415642,27.681678
Loyalty Academy,85.3539085,27.7369338
Himalayan WhiteHouse International College,85.3374622,27.6944094
Pathshala Nepal,85.3336734,27.6942291
Rajdhani Model college,85.3386678,27.6995802
Institute of International Management Science,85.332132,27.7087943
International Centre for Academics,85.3324131,27.7092423
Shaid Dharma Bhakta Library,85.3354396,27.7155792
Learnhub Primary School,85.3391232,27.7195919
Sainik Awasia Mahvidyalaya,84.5696629,27.6215711
Xavier Academy,85.3216785,27.7208653
Best's Montessori Elementary School,85.3235853,27.724805
International French School +AC0- Ecole Francaise Internationale,85.3246132,27.7251251
Gurkha Institute of Education and Career,85.3242486,27.7239808
Takshashila Academy,85.3355715,27.7228257
Wendy House Play Group,85.3320589,27.7197105
Lilawati national academy,85.4806676,27.5899213
Montessori Cottage Pre+AC0-School,85.332176,27.7288054
Holivision Technical Campus,85.3335848,27.6913849
Metro High School,85.3336707,27.6913137
K+ACY-K College,85.3350931,27.6899672
Dream World Children Care Academy,85.3348356,27.690067
Norkhil Academy,85.3293237,27.691241
Mega College,85.3282606,27.6914955
Southpoint Boarding High School,85.3284228,27.6887369
Presidental Business School,85.3283169,27.688883
Sunny Bunny Kids Care,85.3437576,27.6916233
Armed Police Force School,85.2562562,27.6601679
Golden Siddhartha Academy,85.53262,27.6143127
Prakash Library,85.53451,27.6143611
Nepal National Library,85.3131476,27.6806473
Madan Puraskar Pustakalaya,85.3205049,27.6779407
Kantipur Engineering College,85.3334312,27.637138
Janajyoti Library,85.4291239,27.6725231
KCC Library,85.3289015,27.7326364
AJW College+AC0- A Level,85.3263299,27.7304238
Modern Hotel Management and Tourism Technology,85.334427,27.7410586
Utility Driving Center,85.3389784,27.7184874
Blooming Buds,85.3392936,27.7237434
New Gandaki Driving School,85.3331653,27.7268713
Bachchu Child Care Centre,85.3353274,27.7189195
Children's World,85.3349952,27.7241937
Vaatsalya Pre School,85.3353158,27.7233299
Angels Kingdom Kindergarten,85.3238801,27.7217397
Ekata Sadan Boarding School,85.3336128,27.7165875
