name,xcoord,ycoord,,
Jyoti Bikash Bank,84.4381656,27.6704243,,
Agriculture Development Bank,84.4384339,27.6751371,,
Laxmi Bank,85.3395283,27.7392778,,
 ,85.3310335,27.7241393,,
 ,85.3374045,27.6991214,,
Nepal SBI Bank,85.3388236,27.7420334,,
Nabil Bank,85.3348746,27.7385394,,
 ,85.3307579,27.7354669,,
 ,85.3344043,27.7376863,,
Himalayan Bank,85.3305716,27.7345754,,
Vally Finance Ltd,85.3356987,27.7389923,,
NABIL Bank,85.3393416,27.6712195,,
 ,85.3352948,27.6690988,,
Kist bank,85.3165674,27.7347808,,
Mega Bank Limited,85.3379617,27.6874875,,
Sunrise Bank,85.333405,27.6835719,,
NIC Bank,85.3144427,27.7341897,,
Himalayan Atm,85.3366037,27.6878021,,
Sunrise Atm,85.3334137,27.6835523,,
 ,85.3163008,27.6660747,,
Subha saving and credit co+AC0-oprerative society limited,85.3159163,27.6722282,,
Baishnavi Bachat Sahakari,85.3065071,27.6647121,,
Western Union Money Exchange,85.3065071,27.6648053,,
Laxmi Saving +ACY- Credit Co+AC0-operative ltd,85.3161262,27.6715395,,
Goodwill Finance Limited,85.3197792,27.670666,,
Citizen Bank,85.3188722,27.6760779,,
Home Saving and Credit Cooperative pvt. Ltd,85.3201796,27.6769128,,
Sunaulo Krishi Multipurpose Cooperative Ltd,85.3187309,27.6755406,,
Agriculture Development Co+AC0-operatives,85.3197291,27.6708236,,
Janata Bank Nepal Limited,85.3199953,27.6706974,,
NCC Bank,85.3198169,27.6710593,,
NMB Bank,85.3201972,27.6706192,,
Om Finance Limited,85.3206297,27.6706505,,
Prabhu Finance Company Ltd,85.3193583,27.6710182,,
Premier Finance Ltd.,85.320432,27.6704686,,
Prince Savings +ACY- Credit,85.3196224,27.6711467,,
Sanima Bank Limited,85.3199279,27.6707209,,
Siddhartha Bank,85.320322,27.6707868,,
Ananta Saving +ACY- Credit Co+AC0-operative Ltd.,85.3172014,27.6720517,,
Citizens Bank Limited,85.3190041,27.6712084,,
Kalyan Saving +ACY- Credit Co+AC0-operative,85.3166934,27.6721519,,
