Name_of_Br,xcoord,ycoord
Mahuli,86.8686111110001,26.5963055560001
Jharanakaderi,86.8580000000001,26.5963055560001
Jharana,86.8000000000001,26.5766944440001
Mauwa,86.7946111110001,26.574166667
Khando,86.7824444440001,26.564638889
Kosi nahar (West),86.7640000000001,26.549
Bhaluwahi,86.7548888890001,26.546472222
Koshi canal,86.7259722220001,26.4981666670001
Bhaluwa Paini,86.6592500000001,26.6145000000001
Khorhodiya,86.62325,26.5220277780001
Koshi canal,86.617666667,26.5056111110001
Pump Canal,86.58475,26.5603055560001
vented Cause way,86.3638333330001,26.7048055560001
Jharana,86.3646388890001,26.700194444
Khal,86.365194444,26.6972777780001
Kusaha,86.3670000000001,26.6856388890001
Leguwa Khola,87.275861111,27.1490833330001
Kewa Khola,87.2643333330001,27.1819166670001
Piluwa Khola,87.2421388890001,27.215583333
Siddhi Khola,88.1040000000001,26.8910000000001
Mai Khola,87.9500000000001,27.0430000000001
Ratuwa,87.698,26.724
Pump Canal,86.6755833330001,26.556472222
Koshi Nahar,86.6780000000001,26.496
Kamala Canal,86.130555556,26.8789722220001
Chamnath,86.0991388890001,26.890527778
Baluwa,86.0640000000001,26.896333333
Jagadav Branch,86.0140277780001,26.9177222220001
Jagadav,86.011361111,26.9168611110001
Jalad,85.9985833330001,26.9149166670001
Aurahi,85.9819444440001,26.924305556
Basai,85.9659444440001,26.927666667
Sukhajor,85.946888889,26.9397222220001
Barahari,85.9308888890001,26.952222222
Ratu,85.9116666670001,26.983166667
Ratu Chahara,85.903111111,26.986472222
Bhapsi,85.8828888890001,26.993555556
Atabbe,85.8725277780001,26.9963888890001
Janga,85.8582777780001,27.0003055560001
Gaushala,85.8551388890001,27.001027778
Gadhanta,85.8522222220001,27.0019722220001
Belgachhi,85.818055556,27.0041944440001
Tuteshwor,85.810777778,27.005194444
Tuteshwor - 2,85.808833333,27.0055833330001
Maraha,85.7958888890001,27.004361111
no name,85.7846944440001,27.007111111
Dholan,85.779472222,27.0083333330001
Jarlahi,85.7628888890001,27.011333333
Batuwa,85.7488888890001,27.0128611110001
Bankhe,85.7417500000001,27.013861111
Amuwa,85.713916667,27.022
Phuljor,85.6736388890001,27.0357222220001
Kalinjor - 1,85.6612500000001,27.045083333
Kalinjor - 2,85.6534444440001,27.047388889
Betini,85.6405,27.051
Dumdume,85.6275000000001,27.052083333
Bastipur,85.6188611110001,27.057388889
Lakhandei,85.5846388890001,27.073916667
Chapani,85.5761944440001,27.084972222
Bastol,85.5667222220001,27.0868888890001
Sukhapokhari,85.537861111,27.0930000000001
Harion,85.5207777780001,27.101194444
Dumajor,85.5020000000001,27.1127500000001
Godari,85.4905277780001,27.122722222
Bagmati East,85.485444444,27.129166667
Bagmati,85.481777778,27.132166667
Bagmati West,85.4744166670001,27.1359722220001
Gairi,85.471444444,27.134916667
Gairi Khola,85.4636944440001,27.131027778
Paurai,85.441305556,27.1172500000001
Lachkan,85.4270000000001,27.1119722220001
Katha Ko Pul,85.384972222,27.1079722220001
Chandi,85.3718888890001,27.113111111
Dhou,85.3529722220001,27.12375
Jungle Tole,85.3477777780001,27.1289444440001
Amu -1,85.3331111110001,27.1370833330001
Amu - 2,85.3214444440001,27.1408888890001
Kathi,85.3043333330001,27.1465277780001
Lamaha,85.2958055560001,27.149472222
Kali Khola,85.288722222,27.1518333330001
Dhansasr,85.241305556,27.153111111
Lamopul,85.214527778,27.1648888890001
Bhamara,85.2025833330001,27.171444444
Rampul,85.198833333,27.1736666670001
Bakeya,85.1711388890001,27.1803333330001
Unasi,85.1518333330001,27.1791944440001
Terhakilo,85.1072500000001,27.1668888890001
Barahakilo,85.0970277780001,27.164833333
Pasaha,85.0726111110001,27.1677222220001
Pasaha Branch,85.0700833330001,27.1685000000001
Bangandi,85.0606111110001,27.1718611110001
