GAPA_NAPA,GN_TYPE,DISTRICT,PROVINCE,Com_nofaci,Com_1least,Com_Radio,Com_Televi,Com_Cablet,Com_comput,Com_intern,Com_Teleph,Com_Mobile,Cook_wood,Cook_Keros,Cook_LPgas,Cooking_Sa,Cook_Bioga,Cook_Elec,Cook_Other,Cook_Nosta,Light_Elec,Light_Kero,Light_Biog,Light_Sola,Light_Othe,Light_Nons,Water_Tap,Water_Tube,Water_Co_k,Water_Unco,Water_spou,Water_rive,Water_othe,Water_Nots,Toilet_Wit,Toilet_Flu,Toilet_Ord,Toilet_not
Likhupike,Gaunpalika,SOLUKHUMBU,1,146,1011,971,119,5,0,0,47,536,3121,1,1,1,8,0,0,42,608,9,0,579,1935,43,2384,0,3,225,470,46,4,42,1718,712,703,41
Mahakulung,Gaunpalika,SOLUKHUMBU,1,640,1796,1680,33,9,2,0,30,855,1554,0,0,0,0,0,0,6,520,0,0,621,413,6,1102,0,2,88,272,88,2,6,742,39,774,5
Nechasalyan,Gaunpalika,SOLUKHUMBU,1,737,2804,2601,230,12,11,5,105,1673,1691,0,0,0,3,0,0,28,147,29,0,608,910,28,752,0,1,19,855,67,0,28,1289,126,279,28
Solududhakunda,Nagarpalika,SOLUKHUMBU,1,580,4346,3791,672,469,180,71,529,2794,1678,1,0,0,1,0,0,4,7,1,0,614,1059,3,1358,0,1,3,179,138,1,4,1298,116,266,4
Sotang,Gaunpalika,SOLUKHUMBU,1,441,1599,1536,49,1,3,1,49,603,2191,2,1,0,6,0,0,23,6,4,0,742,1449,22,1493,1,6,18,572,110,0,23,1615,284,301,23
Champadevi,Gaunpalika,OKHALDHUNGA,1,1026,2707,2609,89,3,3,0,20,870,2838,7,68,3,11,0,0,14,2414,429,5,64,15,14,2605,6,30,142,139,3,2,14,345,1550,1032,14
Chisankhugadhi,Gaunpalika,OKHALDHUNGA,1,616,2605,2454,76,5,3,0,57,1419,4623,18,873,3,22,3,2,17,4411,755,21,288,70,16,3290,1,17,85,2130,13,8,17,409,4068,1067,17
Khijidemba,Gaunpalika,OKHALDHUNGA,1,509,2469,2276,189,5,11,0,29,1206,7368,76,2772,3,66,2,3,21,8909,1122,16,185,57,22,8818,7,100,119,1206,35,6,20,858,6740,2692,21
Likhu,Gaunpalika,OKHALDHUNGA,1,690,2243,2037,122,8,7,3,65,1241,2190,10,26,1,1,0,0,1,795,1014,0,409,10,1,2013,1,9,60,122,18,5,1,109,1672,447,1
Manebhanjyang,Gaunpalika,OKHALDHUNGA,1,1212,3230,2914,302,27,18,5,187,1554,5009,6,412,2,9,16,1,24,5108,317,6,16,8,24,5090,2,8,26,285,47,0,21,486,3712,1259,22
Molung,Gaunpalika,OKHALDHUNGA,1,699,2918,2650,143,8,6,0,64,1693,3081,13,174,1,22,0,0,3,2654,492,5,133,7,3,2841,3,29,143,215,40,20,3,439,1624,1228,3
Siddhicharan,Nagarpalika,OKHALDHUNGA,1,1209,5637,4896,580,718,176,92,671,3842,5681,11,158,2,20,0,0,11,4323,1000,13,494,42,11,4777,6,51,182,758,74,24,11,815,3904,1153,11
Sunkoshi,Gaunpalika,OKHALDHUNGA,1,817,1472,1326,52,0,3,1,30,776,5924,6,5,12,7,2,2,32,1840,632,12,1493,1981,32,3770,37,22,701,913,502,12,33,3198,1694,1065,33
Ainselukhark,Gaunpalika,KHOTANG,1,927,2524,2394,99,6,10,0,134,884,3854,126,1376,3,8,2,4,33,5107,242,11,11,3,32,1537,153,217,1010,1608,774,76,31,1328,2907,1138,33
Barahapokhari,Gaunpalika,KHOTANG,1,952,1715,1465,97,1,0,2,88,821,4028,286,15672,4,14,11,18,125,19779,160,66,8,18,127,15870,646,1154,453,1164,21,729,121,469,17758,1805,126
Diprung,Gaunpalika,KHOTANG,1,1052,3038,2749,129,8,6,0,197,1440,2047,518,22803,7,4,6,39,137,25190,125,74,16,13,143,14522,2241,2315,482,1166,16,4688,131,200,23370,1854,137
Halesi Tuwachung,Nagarpalika,KHOTANG,1,1697,4025,3478,453,20,41,7,126,2128,7710,40,158,2,110,3,3,73,5968,1503,15,521,19,73,6306,6,228,713,721,42,14,69,3434,2924,1669,72
Jantedhunga,Gaunpalika,KHOTANG,1,919,2097,1912,81,2,3,1,93,956,8604,164,2930,7,641,48,19,92,11919,391,32,6,63,94,11494,20,73,187,493,47,101,90,2436,8126,1850,93
Kepilasagadhi,Gaunpalika,KHOTANG,1,1372,1859,1689,102,22,6,0,84,696,4378,20,7,0,2,0,1,43,3352,876,8,54,118,43,4243,1,8,19,102,35,1,42,2517,675,1216,43
Khotehang,Gaunpalika,KHOTANG,1,1370,3221,2903,419,38,34,3,213,1632,4804,32,248,1,19,3,1,75,4672,405,6,23,2,75,4384,2,37,306,358,21,3,72,2793,1376,941,73
Rawa Besi,Gaunpalika,KHOTANG,1,708,2012,1790,146,65,20,5,60,1282,3211,8,77,0,7,3,0,34,2650,488,8,21,139,34,2975,1,7,65,243,13,1,35,1697,1026,582,35
Rupakot Majhuwagadhi,Nagarpalika,KHOTANG,1,1743,8051,6650,2416,790,355,102,578,6385,3160,6,182,12,234,13,1,21,3322,277,3,3,3,21,2851,0,75,264,380,37,1,21,903,1790,915,21
Sakela,Gaunpalika,KHOTANG,1,356,1952,1760,86,11,4,6,60,1258,3219,12,115,0,16,0,0,26,3033,294,1,7,27,26,3139,1,8,34,162,13,6,25,1583,932,850,23
Belaka,Nagarpalika,UDAYAPUR,1,1681,7152,4139,2119,52,53,10,114,5983,3990,24,691,2,6,6,40,19,3947,246,17,18,527,23,3757,9,83,229,526,113,38,23,1570,2590,596,22
Chaudandigadhi,Nagarpalika,UDAYAPUR,1,1517,8902,4736,4598,437,227,29,416,7440,2414,6,3,6,5,0,3,25,610,299,14,482,1032,25,2082,3,9,23,115,166,39,25,994,1079,364,25
Katari,Nagarpalika,UDAYAPUR,1,2848,8780,5068,2255,1274,189,39,496,6588,3051,0,8,2,4,1,0,4,1929,30,50,35,1022,4,2288,6,98,124,301,242,7,4,817,1614,635,4
Rautamai,Gaunpalika,UDAYAPUR,1,1693,2938,2219,194,274,29,1,202,1593,4101,1,3,2,8,0,1,16,1582,120,178,285,1952,15,2315,4,401,500,584,210,102,16,2601,998,517,16
Sunkoshi,Gaunpalika,UDAYAPUR,1,817,1472,1326,52,0,3,1,30,776,5924,6,5,12,7,2,2,32,1840,632,12,1493,1981,32,3770,37,22,701,913,502,12,33,3198,1694,1065,33
Tapli,Gaunpalika,UDAYAPUR,1,956,1700,1564,42,1,3,0,47,660,6815,37,358,3,3,0,12,29,5499,1685,9,33,2,29,5463,17,753,219,662,70,45,28,2813,3538,877,29
Triyuga,Nagarpalika,UDAYAPUR,1,2418,16874,8312,7137,4138,970,218,1164,14594,4068,15,4,6,6,0,2,9,142,1658,2,1414,885,9,2484,5,81,570,382,442,137,9,3200,641,260,9
Udayapurgadhi,Gaunpalika,UDAYAPUR,1,2000,4105,2906,351,18,23,2,56,2944,4506,28,3,2,1,1,0,18,744,2353,4,694,747,17,2852,6,533,498,585,54,13,18,3287,976,279,17
Koshi Tappu Wildlife Reserve,Wildlife Reserve,UDAYAPUR,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Agnisair Krishna Savaran,Gaunpalika,SAPTARI,2,1250,4138,1870,1824,139,75,3,78,2732,4071,4,6,18,12,1,1,16,93,161,6,2127,1727,15,3207,2,10,161,694,38,1,16,3132,487,495,15
Balan Bihul,Gaunpalika,SAPTARI,2,926,2963,1917,140,2,7,4,15,1640,3582,3,4,11,2,0,0,7,86,156,4,2413,944,6,2482,0,31,285,756,40,9,6,2569,217,817,6
Belhi Chapena,Gaunpalika,SAPTARI,2,828,4330,2192,929,43,15,1,12,2344,5845,9,8,13,4,0,1,26,342,555,1,3227,1755,26,3513,6,371,905,1000,84,2,25,3803,1469,608,26
Bishnupur,Gaunpalika,SAPTARI,2,797,2647,1151,1221,33,30,4,32,2212,2090,2,0,0,8,1,0,4,951,87,1,313,749,4,811,0,13,26,1218,34,0,3,1422,360,319,4
Bode Barsain,Nagarpalika,SAPTARI,2,1541,6132,3124,1396,26,45,5,12,3780,4342,14,23,7,7,0,0,15,759,1227,5,1481,921,15,2897,4,39,305,1058,91,1,13,2723,1080,590,15
Chhinnamasta,Gaunpalika,SAPTARI,2,1607,3675,1720,906,56,32,4,12,2097,3395,21,0,12,9,1,0,22,9,128,3,1377,1922,21,1326,2,60,892,1108,43,8,21,3036,132,270,22
Dakneshwori,Nagarpalika,SAPTARI,2,1635,6263,3138,1364,23,59,3,45,4081,2354,5,4,2,1,0,0,38,226,427,3,767,943,38,1586,0,33,279,450,17,2,37,1945,225,196,38
Hanumannagar Kankalini,Nagarpalika,SAPTARI,2,1900,5931,3108,1840,169,76,14,136,3378,4251,6,6,7,12,1,0,60,11,693,4,1415,2163,57,2104,1,30,567,837,741,6,57,3384,487,413,59
Kanchanrup,Nagarpalika,SAPTARI,2,1925,8000,3787,4084,538,149,19,396,5189,3569,16,44,2,10,0,2,14,857,1043,1,1255,487,14,2748,2,16,293,528,56,1,13,2559,689,395,14
Khadak,Nagarpalika,SAPTARI,2,1302,7159,2520,3034,171,121,17,101,5208,4697,6,1,8,2,0,0,31,15,180,5,2600,1915,30,1854,9,36,720,1817,276,2,31,4088,284,342,31
Mahadeva,Gaunpalika,SAPTARI,2,1399,3930,1508,1099,91,36,5,21,2154,6700,47,499,4,0,3,14,124,3774,1985,4,553,954,121,4821,13,185,1223,812,194,24,119,3694,2252,1321,124
Rajbiraj,Nagarpalika,SAPTARI,2,1538,11587,6661,5006,2722,925,254,1372,8453,3400,17,13,1,1,2,0,13,669,1761,4,709,292,12,2550,2,18,207,544,112,2,12,2013,1164,257,13
Rupani,Gaunpalika,SAPTARI,2,988,3977,1636,1445,68,44,6,32,2853,5383,2,5,15,15,1,1,26,63,240,18,1682,3419,26,2186,67,127,744,1531,768,0,25,2368,1774,1283,23
Saptakoshi,Nagarpalika,SAPTARI,2,888,3595,1481,2062,315,81,9,156,2621,8427,11,239,15,83,4,6,40,3703,324,29,998,3732,39,3523,26,179,1915,2575,560,8,39,2906,2838,3044,37
Shambhunath,Nagarpalika,SAPTARI,2,971,5662,2471,2416,132,89,7,32,4098,14189,235,8703,29,387,13,37,117,20508,1081,81,379,1515,146,17086,1053,1783,1939,927,92,686,144,2780,15979,4807,144
Surunga,Nagarpalika,SAPTARI,2,1400,7100,3588,2103,73,76,5,45,5072,4514,2,2,17,25,0,2,46,165,18,11,1094,3274,46,1442,89,94,660,1752,480,46,45,2586,1038,938,46
Tilathi Koiladi,Gaunpalika,SAPTARI,2,1596,4003,1894,1495,83,51,8,44,2158,2894,0,1,1,6,0,2,19,5,15,2,802,2080,19,2235,2,16,114,477,50,10,19,1210,245,1451,17
Tirahut,Gaunpalika,SAPTARI,2,943,3006,1498,613,17,18,3,24,1691,9341,22,114,2,35,3,4,51,3599,824,40,789,4269,51,6061,41,182,648,2037,538,14,51,3038,3108,3375,51
Koshi Tappu Wildlife Reserve,Wildlife Reserve,SAPTARI,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Arnama,Gaunpalika,SIRAHA,2,968,2921,1413,961,31,19,1,24,2107,3556,3,0,2,3,1,1,19,10,61,1,2483,1011,19,1884,0,20,34,1406,221,2,18,415,1765,1386,19
Aurahi,Gaunpalika,SIRAHA,2,930,3179,1982,206,9,4,0,24,1866,1974,1,1,0,1,0,1,24,7,105,0,926,940,24,1523,0,79,24,191,161,1,23,97,728,1153,24
Bariyarpatti,Gaunpalika,SIRAHA,2,810,3376,1747,686,51,18,0,27,2413,2402,1,0,0,5,2,0,11,9,4,2,1021,1374,11,1597,0,2,53,542,216,0,11,1875,132,403,11
Bhagawanpur,Gaunpalika,SIRAHA,2,893,2665,1221,839,23,20,2,9,1601,2660,0,0,1,3,5,1,15,823,12,0,423,1413,14,1367,0,4,11,1272,0,17,14,1698,224,748,15
Bishnupur,Gaunpalika,SIRAHA,2,797,2647,1151,1221,33,30,4,32,2212,2090,2,0,0,8,1,0,4,951,87,1,313,749,4,811,0,13,26,1218,34,0,3,1422,360,319,4
Dhangadhimai,Nagarpalika,SIRAHA,2,1528,6982,3629,3126,124,113,14,68,4843,2673,1,0,0,1,0,0,18,34,2,0,1261,1378,18,1597,0,47,100,876,39,17,17,1487,302,887,17
Golbazar,Nagarpalika,SIRAHA,2,1937,7956,3616,3475,863,204,31,198,5322,3598,2,3,0,5,0,0,33,420,9,2,1889,1289,32,2764,0,1,49,713,84,0,30,1098,137,2373,33
Kalyanpur,Nagarpalika,SIRAHA,2,1843,7353,3464,4250,161,94,10,97,5906,2778,0,0,0,0,0,0,43,492,58,0,1408,820,43,2292,0,13,60,332,81,0,43,2034,280,465,42
Karjanha,Nagarpalika,SIRAHA,2,1580,4480,1925,2684,356,81,9,45,3933,1025,0,0,0,0,0,0,4,82,5,0,726,212,4,681,0,0,2,215,126,1,4,651,167,207,4
Lahan,Nagarpalika,SIRAHA,2,2238,14498,6776,7325,1674,696,131,725,10317,2079,0,1,0,0,0,0,29,338,2,1,1330,409,29,1494,0,1,2,392,191,0,29,1172,755,153,29
Laxmipur Patari,Gaunpalika,SIRAHA,2,1085,3672,1505,1198,39,33,3,21,2313,1119,0,0,0,1,0,1,0,0,0,0,149,972,0,934,0,0,0,181,6,0,0,578,402,141,0
Mirchaiya,Nagarpalika,SIRAHA,2,1400,7789,3232,4019,867,172,82,311,6022,962,0,0,0,1,0,0,0,1,1,0,291,670,0,574,0,0,0,388,1,0,0,389,82,492,0
Naraha,Gaunpalika,SIRAHA,2,1039,2568,1076,1246,84,58,10,37,2012,1129,0,0,0,0,1,1,1,432,1,0,304,394,1,812,0,0,2,310,7,0,1,569,351,211,1
Nawarajpur,Gaunpalika,SIRAHA,2,774,2414,906,669,38,14,2,8,1450,833,0,2,0,0,0,0,0,405,0,0,405,25,0,597,0,0,1,151,85,1,0,465,84,286,0
Sakhuwanankarkatti,Gaunpalika,SIRAHA,2,930,2418,977,946,35,30,1,19,1079,1789,0,1,0,3,0,0,1,0,0,0,411,1382,1,1239,0,5,48,479,21,1,1,937,437,419,1
Siraha,Nagarpalika,SIRAHA,2,2792,12392,6374,7543,1168,305,72,430,9763,2422,0,0,0,1,133,2,8,2041,7,0,295,215,8,1803,0,1,1,697,55,1,8,1222,942,394,8
Sukhipur,Nagarpalika,SIRAHA,2,1601,4994,2011,1517,144,50,7,59,3384,1024,0,0,0,2,0,0,0,80,1,0,283,662,0,642,0,2,12,334,20,16,0,539,286,201,0
Aaurahi,Gaunpalika,DHANUSHA,2,514,3353,1626,1174,118,26,3,73,2642,4732,71,131,3667,35,5,3,113,6382,1880,23,353,5,114,841,4552,56,2714,21,384,80,109,7268,744,631,114
Bateshwor,Gaunpalika,DHANUSHA,2,780,2785,1479,1275,70,32,2,72,2036,6431,102,420,3005,18,29,39,66,6629,3189,81,78,68,65,346,6045,130,3065,8,153,301,62,7419,1511,1115,65
Bideha,Nagarpalika,DHANUSHA,2,907,4288,2590,1651,159,47,6,88,3011,3407,75,90,5597,13,2,93,114,5978,3234,12,28,25,114,416,8717,7,11,2,1,132,105,7626,1264,398,103
Chhireshwornath,Nagarpalika,DHANUSHA,2,1170,6404,3420,3692,657,176,43,305,5201,4832,73,91,1027,20,0,1,44,3930,2072,5,36,1,44,307,5670,11,26,1,2,28,43,4730,760,554,44
Dhanauji,Gaunpalika,DHANUSHA,2,697,2909,1548,1804,214,28,6,108,1936,8498,174,1878,6435,46,4,15,132,13164,3323,49,288,222,136,2040,13123,93,1399,31,118,245,133,11002,3971,2076,133
Dhanusadham,Nagarpalika,DHANUSHA,2,1484,7084,3641,3978,391,106,16,183,5969,728,36,15,3949,21,2,54,25,3502,1251,7,36,8,26,48,4691,4,8,0,0,56,23,4391,255,160,24
Ganeshman Charnath,Nagarpalika,DHANUSHA,2,1280,5633,2864,2752,358,68,9,98,4785,6602,143,366,2134,6,1,10,71,6741,2437,22,62,1,70,349,8484,22,233,7,86,84,68,6703,1726,834,70
Hansapur,Nagarpalika,DHANUSHA,2,1184,5538,2531,2342,415,49,4,72,4479,1379,36,42,2155,8,0,7,46,2231,1367,4,12,14,45,183,3047,5,339,51,3,4,41,3235,224,170,44
Janaknandani,Gaunpalika,DHANUSHA,2,964,3264,1491,1192,138,32,7,47,2794,191,21,2,3029,9,1,12,15,2743,486,3,32,1,15,4,3211,2,24,2,0,22,15,3042,177,46,15
Janakpur,Upamahanagarpalika,DHANUSHA,2,2821,27232,13894,16284,12738,2666,706,4069,23068,252,36,2,3073,5,0,5,15,2285,1076,3,9,0,15,34,3203,2,15,2,0,118,14,2736,309,328,15
Kamala,Nagarpalika,DHANUSHA,2,1581,5181,2571,1324,59,29,4,35,4128,3872,156,882,10354,16,2,69,126,12533,2728,23,47,19,127,1478,13453,22,29,5,1,373,116,11098,3022,1231,126
Lakshminiya,Gaunpalika,DHANUSHA,2,548,4373,2028,2530,865,73,9,101,3430,786,61,120,5686,9,2,42,28,3321,3307,7,69,2,28,18,6544,11,82,1,1,52,25,6018,416,272,28
Mithila,Nagarpalika,DHANUSHA,2,1050,7000,4315,3598,899,169,16,221,5471,2404,47,33,1120,7,1,2,57,2983,515,49,60,7,57,812,1350,163,1139,59,1,93,54,2969,328,317,57
Mithila Bihari,Nagarpalika,DHANUSHA,2,739,5074,2235,2393,480,57,5,75,4309,799,43,45,3028,7,5,28,48,2501,1405,11,28,10,48,555,3234,8,11,1,0,149,45,2873,380,701,49
Mukhiyapatti Musarmiya,Gaunpalika,DHANUSHA,2,603,3434,1874,1019,188,62,10,73,2710,2146,67,29,3340,10,3,14,208,3428,2134,16,33,0,206,986,4536,4,22,10,1,53,205,3519,723,1368,207
Nagarain,Nagarpalika,DHANUSHA,2,1058,5200,2625,2578,230,74,7,155,4114,4621,63,565,2370,19,1,32,104,6256,1365,8,42,2,102,1267,5708,15,647,39,1,4,94,4966,1412,1294,103
Sabaila,Nagarpalika,DHANUSHA,2,1482,8407,3974,4503,1146,85,14,153,6939,1142,33,31,2396,4,2,0,109,3142,417,11,13,23,111,44,3367,7,5,0,1,190,103,2916,351,343,107
Sahidnagar,Nagarpalika,DHANUSHA,2,1283,7163,3985,3507,423,75,10,127,5891,6589,52,108,1851,8,0,2,105,6786,1752,13,51,7,106,573,5455,206,2153,5,2,218,103,7142,662,807,104
Aurahi,Nagarpalika,MAHOTTARI,2,1667,4113,2073,1618,273,52,2,131,2268,4701,11,74,0,67,0,2,9,1960,1212,2,1249,432,9,4618,0,5,10,221,1,1,8,1597,1982,1276,9
Balwa,Nagarpalika,MAHOTTARI,2,1568,5934,2477,2919,289,67,19,130,3902,4807,19,125,0,763,2,0,14,2758,1383,3,1109,463,14,3391,0,317,205,1637,99,67,14,951,2635,2130,14
Bardibas,Nagarpalika,MAHOTTARI,2,2186,10819,5972,3720,2118,311,63,556,7895,2590,14,18,0,0,1,1,27,1193,712,0,334,385,27,2504,0,1,3,110,8,0,25,1064,488,1073,26
Bhangaha,Nagarpalika,MAHOTTARI,2,2507,5919,2923,2255,278,50,7,117,4128,2914,64,115,0,15,1,3,9,1020,1088,1,940,63,9,3034,0,1,27,48,0,2,9,791,1338,984,8
Ekdanra,Gaunpalika,MAHOTTARI,2,1100,3660,1415,1356,166,45,7,56,2721,9751,195,3387,1,579,6,29,36,10922,2014,9,807,195,37,12314,4,175,350,1053,52,1,35,2283,8649,3015,37
Gaushala,Nagarpalika,MAHOTTARI,2,2398,9236,4421,3648,350,104,18,255,5562,2119,0,1,0,1,0,0,13,897,7,2,693,522,13,1646,0,2,18,443,7,5,13,1429,178,514,13
Jaleswor,Nagarpalika,MAHOTTARI,2,1752,8099,3675,4369,1212,234,62,391,6009,4644,10,115,0,333,3,2,31,3965,807,8,158,169,31,4193,0,64,183,610,55,2,31,1461,2480,1166,31
Loharpatti,Nagarpalika,MAHOTTARI,2,1219,6053,3147,3245,450,99,12,148,4587,6126,34,571,2,172,2,6,14,6155,711,1,20,26,14,6059,1,102,278,432,37,4,14,2525,2865,1523,14
Mahottari,Gaunpalika,MAHOTTARI,2,1143,3672,1583,1907,69,34,14,35,2369,4346,86,287,1,610,0,6,19,1406,2123,7,1601,199,19,4247,1,75,185,755,71,2,19,1438,2839,1061,17
Manra Siswa,Nagarpalika,MAHOTTARI,2,2115,6154,2715,2676,656,83,9,84,4187,5597,25,27,10,62,0,0,10,1658,1688,4,2018,353,10,2825,72,85,2286,299,147,7,10,4352,664,705,10
Matihani,Nagarpalika,MAHOTTARI,2,1198,3959,1092,1542,440,64,5,129,2793,7300,30,112,13,68,1,7,7,4295,1974,7,1067,188,7,3469,528,180,2794,480,60,20,7,5743,1279,509,7
Pipra,Gaunpalika,MAHOTTARI,2,1320,4997,2125,2933,448,101,17,113,3137,4413,16,245,1,23,98,1,13,3851,705,6,215,21,12,4261,4,17,114,303,87,12,12,1654,2255,888,13
Ramgopalpur,Nagarpalika,MAHOTTARI,2,1555,3595,1397,1303,163,31,7,110,2465,15986,564,14442,43,2761,89,271,114,31213,2544,139,149,105,120,25629,1963,1553,3035,1587,132,256,115,5048,22969,6133,120
Samsi,Gaunpalika,MAHOTTARI,2,2245,3073,1375,874,108,27,3,49,1804,2957,15,67,3,1,1,2,8,2673,366,5,1,1,8,2405,2,53,307,178,41,61,7,967,1783,296,8
Sonama,Gaunpalika,MAHOTTARI,2,1343,4822,2486,1156,120,37,4,94,2939,4171,28,20,6,3,0,20,15,802,1858,5,1213,371,14,3829,3,12,340,21,40,3,15,3530,363,355,15
Bagmati,Nagarpalika,SARLAHI,2,1299,6534,3706,3017,694,116,23,77,4242,6188,9,24,7,63,2,3,50,3564,378,12,413,1930,49,5187,4,12,128,724,216,27,48,1289,2700,2307,50
Balara,Nagarpalika,SARLAHI,2,2335,5248,2633,1188,114,50,6,43,3032,6172,8,8,28,27,0,6,55,86,30,24,1994,4118,52,3978,25,92,394,1576,178,8,53,1435,2782,2032,55
Barahathawa,Nagarpalika,SARLAHI,2,2253,9410,5391,3568,759,151,32,288,6105,5015,4,16,13,8,1,5,32,23,45,5,1801,3189,31,2678,8,70,97,1785,420,5,31,3250,890,922,32
Basbariya,Gaunpalika,SARLAHI,2,1133,2527,1190,522,12,31,6,31,1443,5204,1,20,2,9,0,0,27,304,4,2,2051,2875,27,2881,2,26,404,1634,289,1,26,3020,1502,714,27
Bishnu,Gaunpalika,SARLAHI,2,920,2994,1725,200,6,13,4,25,1781,3315,2,9,15,4,1,0,13,509,57,8,1957,814,14,2441,3,20,156,696,28,1,14,622,2379,345,13
Bramhapuri,Gaunpalika,SARLAHI,2,1120,3351,1423,1051,71,27,7,45,1954,3938,4,5,2,8,0,4,15,7,102,1,1817,2034,15,683,4,284,1092,1839,55,4,15,2291,992,678,15
Chakraghatta,Gaunpalika,SARLAHI,2,1417,2919,1135,927,53,27,6,23,1414,4580,7,0,12,12,0,0,23,16,225,12,1809,2549,23,1613,3,308,843,1801,43,2,21,3481,391,740,22
Chandranagar,Gaunpalika,SARLAHI,2,1610,3774,1120,1339,72,29,1,42,2243,8015,12,24,18,27,0,6,62,1014,404,7,2670,4008,61,2810,6,19,840,4333,87,9,60,5099,1909,1093,63
Dhankaul,Gaunpalika,SARLAHI,2,785,3071,1831,178,6,17,22,9,1884,2982,3,22,3,7,0,0,27,1154,98,3,832,931,26,1902,8,64,161,869,14,0,26,762,1820,436,26
Godaita,Nagarpalika,SARLAHI,2,2110,5620,2807,1259,68,53,12,33,3119,4051,2,1,8,8,0,0,26,243,125,5,2048,1649,26,3030,4,4,156,619,103,154,26,1308,2082,680,26
Haripur,Nagarpalika,SARLAHI,2,1393,4992,2136,2324,269,73,22,62,3462,3488,8,9,5,18,0,1,24,253,136,5,1684,1452,23,1531,1,113,621,1174,88,2,23,1991,1045,493,24
Haripurwa,Nagarpalika,SARLAHI,2,1703,4129,1984,1369,64,40,5,43,2362,5019,19,657,0,12,1,40,43,2769,754,2,917,1306,43,3798,3,97,584,1236,27,3,43,2316,2364,1069,42
Hariwan,Nagarpalika,SARLAHI,2,940,7493,3974,4163,1725,273,91,317,5219,3649,2,3,6,14,0,0,34,363,115,3,1590,1603,34,2723,3,41,205,584,116,2,34,2666,612,396,34
Ishworpur,Nagarpalika,SARLAHI,2,1817,8992,4503,4160,864,130,15,188,5982,3282,0,0,1,3,0,0,41,6,2,3,964,2311,41,1925,2,2,74,1274,9,0,41,1406,1583,297,41
Kabilasi,Nagarpalika,SARLAHI,2,2103,4547,1657,1998,209,54,5,98,2799,3069,3,0,6,4,0,0,11,275,155,3,1181,1468,11,1503,0,0,180,1357,36,7,10,2063,603,416,11
Kaudena,Gaunpalika,SARLAHI,2,915,3101,1621,1194,60,30,3,58,1569, , , , , , , , , , , , , , , , , , , , , , , , , , 
Lalbandi,Nagarpalika,SARLAHI,2,1609,10488,5991,3973,2593,444,96,648,7926,6484,2,60,16,7,1,1,19,563,106,5,2570,3327,19,4139,4,2,679,1297,442,9,18,3884,634,2053,19
Malangawa,Nagarpalika,SARLAHI,2,1171,6573,2339,3331,2295,389,128,565,4974,6101,4,2,4,8,0,2,23,7,55,10,3653,2396,23,3507,5,42,274,2087,205,3,21,2654,1267,2200,23
Parsa,Gaunpalika,SARLAHI,2,978,2307,1184,868,180,24,1,40,1560,3733,2,0,6,8,0,0,25,9,164,3,1620,1953,25,1717,5,25,245,1498,225,36,23,1929,1104,716,25
Ramnagar,Gaunpalika,SARLAHI,2,886,3450,1966,408,17,27,6,17,2344,3553,3,1,7,5,0,0,21,16,172,6,1122,2253,21,1846,7,34,96,1403,182,1,21,2368,254,947,21
Dudhouli,Nagarpalika,SINDHULI,3,3006,9504,5858,3128,625,112,12,390,6492,2531,1,0,13,4,0,1,6,23,50,2,1066,1409,6,1348,5,6,79,863,130,119,6,1397,768,385,6
Ghanglekh,Gaunpalika,SINDHULI,3,941,1472,1253,77,3,4,0,39,720,4671,2,3,10,20,2,1,12,332,11,12,1333,3021,12,2997,7,5,150,1147,382,22,11,2814,685,1210,12
Golanjor,Gaunpalika,SINDHULI,3,806,2816,2380,460,221,19,2,154,1815,280,0,0,0,0,1,0,1,1,4,0,247,29,1,108,0,1,0,16,156,0,1,278,3,0,1
Hariharpurgadhi,Gaunpalika,SINDHULI,3,1636,2817,2169,295,24,9,1,55,1525,45,2,0,303,1,0,113,4,0,1,0,453,10,4,141,0,0,18,171,134,0,4,447,8,9,4
Kamalamai,Nagarpalika,SINDHULI,3,2476,11661,7648,5395,4134,744,215,1196,8539,433,0,0,0,0,0,0,0,0,0,0,309,124,0,429,0,0,0,4,0,0,0,90,140,203,0
Marin,Gaunpalika,SINDHULI,3,1639,3148,2552,160,13,23,3,177,1752,779,0,0,0,0,0,0,1,0,3,0,576,201,0,624,0,1,73,52,29,0,1,740,22,17,1
Phikkal,Gaunpalika,SINDHULI,3,941,1997,1837,67,3,4,1,76,835,924,0,0,0,1,0,0,1,0,4,0,470,451,1,506,0,0,0,282,136,1,1,645,114,166,1
Sunkoshi,Gaunpalika,SINDHULI,3,817,1472,1326,52,0,3,1,30,776,5924,6,5,12,7,2,2,32,1840,632,12,1493,1981,32,3770,37,22,701,913,502,12,33,3198,1694,1065,33
Tinpatan,Gaunpalika,SINDHULI,3,2057,4697,4198,450,49,14,1,581,1991,1880,12,6,0,2,1,0,2,1162,37,0,280,422,2,1623,0,0,1,234,42,1,2,442,1162,297,2
Doramba,Gaunpalika,RAMECHHAP,3,1443,3263,2708,381,11,9,0,36,1946,6981,72,2546,1101,572,3,51,84,10281,938,36,51,19,85,4044,7105,19,26,39,1,91,85,3593,3881,3852,84
