FID,the_geom,OBJECTID_1,OBJECTID,WNO,ZONE_NAME,REGION_12,DIST_ID,VDC_ID,DISTRICTS,VDC_CODE,VDC,DISVDCODE,P_CODE,X,Y,DISTRICT,VDC_NAME,P_CODEV,Market,Wardno,Damage,Recovery,Phyacces,Tranflow,Wholesal,Timfrwho,Traderno,building,comodity,Suffice,Capacity,Avgsalric,Avgsalent,Avgsaloil,Pricrice,Pricoil,Priclnt,Bankfin,credcop,Remagebt,Tel,Police,Wagrate,PCODEW,Mrktsze
market_centers_eq_districts0.29,POINT (85.90579986567133 27.782499313792357),29,9258,9,Bagmati,Central,23,006,Sindhupalchok,6,Barhabise,230006,C-BAG-23-006-09,85.9058,27.7825,Sindhupalchok,Bahrabise,C-BAG-23-006,Barhabise,9,1,2,1,2,Banepa,1,15,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,600,100,100,54,240,230,1,1,1,2,1,500,C-BAG-23-006-09,2
market_centers_eq_districts0.30,POINT (85.60880279521291 27.975299834819566),30,9260,2,Bagmati,Central,23,007,Sindhupalchok,7,Baruwa,230007,C-BAG-23-007-02,85.6088,27.9753,Sindhupalchok,Baruwa,C-BAG-23-007,Jatan,2,1,2,3,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,150,8,30,50,240,230,2,1,2,1,2,500,C-BAG-23-007-02,3
market_centers_eq_districts0.31,POINT (85.72499847440014 27.825500488256978),31,9270,3,Bagmati,Central,23,008,Sindhupalchok,8,Batase,230008,C-BAG-23-008-03,85.725,27.8255,Sindhupalchok,Batase,C-BAG-23-008,Dhungenidanda,3,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,10,15,52,240,230,2,1,2,1,2,500,C-BAG-23-008-03,3
market_centers_eq_districts0.32,POINT (85.64569854695043 27.744800567292373),32,9280,4,Bagmati,Central,23,009,Sindhupalchok,9,Bhimtar,230009,C-BAG-23-009-04,85.6457,27.7448,Sindhupalchok,Bhimtar,C-BAG-23-009,Bhimtar,4,1,2,2,2,Banepa,1,7,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,10,20,52,240,230,2,1,2,1,1,500,C-BAG-23-009-04,2
market_centers_eq_districts0.33,POINT (85.65390014637472 27.977500915634778),33,9290,5,Bagmati,Central,23,049,Sindhupalchok,49,Bhotang,230049,C-BAG-23-049-05,85.6539,27.9775,Sindhupalchok,Bhotang,C-BAG-23-049,Chhimti,5,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,500,15,20,54,220,230,2,1,2,1,2,500,C-BAG-23-049-05,3
market_centers_eq_districts0.34,POINT (85.49810028120305 27.791799545712536),34,9295,1,Bagmati,Central,23,012,Sindhupalchok,12,Bhotechaur,230012,C-BAG-23-012-01,85.4981,27.7918,Sindhupalchok,Bhotechaur,C-BAG-23-012,Bhotechaur,1,1,2,3,2,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,21,10,50,240,230,2,1,2,1,1,500,C-BAG-23-012-01,3
market_centers_eq_districts0.35,POINT (85.62370300299125 27.89049911504219),35,9312,9,Bagmati,Central,23,011,Sindhupalchok,11,Bhote Namlang,230011,C-BAG-23-011-09,85.6237,27.8905,Sindhupalchok,BhoteNamlang,C-BAG-23-011,Tipani,9,1,2,2,3,Banepa,1,7,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,9,15,52,240,230,2,1,2,1,1,500,C-BAG-23-011-09,2
market_centers_eq_districts0.36,POINT (85.65599822963463 27.762800216556798),36,9316,4,Bagmati,Central,23,010,Sindhupalchok,10,Bhotasipa,230010,C-BAG-23-010-04,85.656,27.7628,Sindhupalchok,Bhotasipa,C-BAG-23-010,Badahare,4,1,2,2,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,200,14,20,50,240,230,2,1,2,1,2,500,C-BAG-23-010-04,2
market_centers_eq_districts0.37,POINT (85.71209716814985 27.774599075387073),37,9329,8,Bagmati,Central,23,014,Sindhupalchok,14,Chautara,230014,C-BAG-23-014-08,85.7121,27.7746,Sindhupalchok,Choutara,C-BAG-23-014,Chautara,8,1,2,1,2,Banepa,1,20,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,300,10,50,50,235,230,1,1,1,2,1,500,C-BAG-23-014-08,2
market_centers_eq_districts0.38,POINT (85.96009826702146 27.75679969794777),38,9333,3,Bagmati,Central,23,013,Sindhupalchok,13,Chokati,230013,C-BAG-23-013-03,85.9601,27.7568,Sindhupalchok,Choukati,C-BAG-23-013,Chokati,3,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,600,7,10,54,240,230,2,1,2,1,2,500,C-BAG-23-013-03,3
market_centers_eq_districts0.39,POINT (85.90339660646828 27.77319908097286),39,9348,9,Bagmati,Central,23,023,Sindhupalchok,23,Dhuskun,230023,C-BAG-23-023-09,85.9034,27.7732,Sindhupalchok,Ghuskun,C-BAG-23-023,Sunkoshi,9,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,6,20,54,240,230,2,1,2,1,2,500,C-BAG-23-023-09,3
market_centers_eq_districts0.40,POINT (85.86399841289648 27.833999633776102),40,9356,8,Bagmati,Central,23,015,Sindhupalchok,15,Dhumthang,230015,C-BAG-23-015-08,85.864,27.834,Sindhupalchok,Ghumthang,C-BAG-23-015,Ghumthang,8,1,2,3,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,400,5,16,52,240,230,2,1,2,1,2,500,C-BAG-23-015-08,3
market_centers_eq_districts0.41,POINT (85.57330322296542 27.858900069782464),41,9359,2,Bagmati,Central,23,016,Sindhupalchok,16,Dubachour,230016,C-BAG-23-016-02,85.5733,27.8589,Sindhupalchok,Dubachour,C-BAG-23-016,Pokhare Bhanjeng,2,1,2,2,2,Banepa,1,7,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,300,8,20,52,240,230,2,1,1,1,2,500,C-BAG-23-016-02,2
market_centers_eq_districts0.42,POINT (85.91239929229357 27.812299728449773),42,9370,4,Bagmati,Central,23,021,Sindhupalchok,21,Gati,230021,C-BAG-23-021-04,85.9124,27.8123,Sindhupalchok,Gati,C-BAG-23-021,Kaseri,4,1,2,2,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,300,9,40,55,240,230,2,1,2,1,2,500,C-BAG-23-021-04,3
market_centers_eq_districts0.43,POINT (85.99929809533091 27.815200805572772),43,9376,1,Bagmati,Central,23,022,Sindhupalchok,22,Ghorthali,230022,C-BAG-23-022-01,85.9993,27.8152,Sindhupalchok,Ghorthali,C-BAG-23-022,Dolangsa,1,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,5,10,56,240,230,2,1,2,1,2,500,C-BAG-23-022-01,3
market_centers_eq_districts0.44,POINT (85.48719787558156 27.81800079350188),44,9423,3,Bagmati,Central,23,028,Sindhupalchok,28,Haibung,230028,C-BAG-23-028-03,85.4872,27.818,Sindhupalchok,Haibung,C-BAG-23-028,Kauledovan,3,1,2,3,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,7,20,52,240,230,2,1,2,1,2,500,C-BAG-23-028-03,3
market_centers_eq_districts0.45,POINT (85.53389739954542 27.952100753347167),45,9430,1,Bagmati,Central,23,029,Sindhupalchok,29,Helambu,230029,C-BAG-23-029-01,85.5339,27.9521,Sindhupalchok,Helumbu,C-BAG-23-029,Timbu,1,1,2,3,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,9,30,55,240,230,2,2,2,1,2,500,C-BAG-23-029-01,3
market_centers_eq_districts0.46,POINT (85.5364990231115 27.90410041849958),46,9444,6,Bagmati,Central,23,030,Sindhupalchok,30,Ichok,230030,C-BAG-23-030-06,85.5365,27.9041,Sindhupalchok,Ichok,C-BAG-23-030,Chanaute,6,1,2,1,3,Banepa,1,11,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,500,16,50,53,240,230,2,1,2,1,2,500,C-BAG-23-030-06,2
market_centers_eq_districts0.47,POINT (85.74079895031139 27.742399215551416),47,9452,5,Bagmati,Central,23,031,Sindhupalchok,31,Irkhu,230031,C-BAG-23-031-05,85.7408,27.7424,Sindhupalchok,Irkhu,C-BAG-23-031,Irkhu,5,1,2,1,2,Banepa,1,12,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,7,20,50,240,230,2,1,2,1,2,500,C-BAG-23-031-05,2
market_centers_eq_districts0.48,POINT (85.773300171166 27.812200545818598),48,9460,4,Bagmati,Central,23,032,Sindhupalchok,32,Jalbire,230032,C-BAG-23-032-04,85.7733,27.8122,Sindhupalchok,Jalbire,C-BAG-23-032,Jalbire,4,1,2,1,2,Banepa,1,25,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,600,12,30,50,240,230,1,1,2,1,1,500,C-BAG-23-032-04,1
market_centers_eq_districts0.49,POINT (85.92130279548769 27.69969940210575),49,9467,2,Bagmati,Central,23,033,Sindhupalchok,33,Jethal,230033,C-BAG-23-033-02,85.9213,27.6997,Sindhupalchok,Jethal,C-BAG-23-033,"Sikre, 21 Kilo",2,1,2,1,2,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,400,9,20,53,240,230,2,1,2,2,2,500,C-BAG-23-033-02,3
market_centers_eq_districts0.50,POINT (85.6019973752787 27.856500625503543),50,9480,6,Bagmati,Central,23,034,Sindhupalchok,34,Jyamire,230034,C-BAG-23-034-06,85.602,27.8565,Sindhupalchok,Jyamire,C-BAG-23-034,Kaflekhola,6,1,2,3,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,5,40,54,240,230,2,1,2,1,2,500,C-BAG-23-034-06,3
market_centers_eq_districts0.51,POINT (85.76200103771777 27.689100265864624),51,9493,1,Bagmati,Central,23,036,Sindhupalchok,36,Kalika,230036,C-BAG-23-036-01,85.762,27.6891,Sindhupalchok,Kalika,C-BAG-23-036,Puranakot,1,1,2,3,3,Banepa,1,6,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,200,0,50,50,240,230,2,1,2,1,2,500,C-BAG-23-036-01,3
market_centers_eq_districts0.52,POINT (85.96109771688617 27.78440094015133),52,9504,3,Bagmati,Central,23,037,Sindhupalchok,37,Karthali,230037,C-BAG-23-037-03,85.9611,27.7844,Sindhupalchok,Karthali,C-BAG-23-037,Budhepa,3,2,2,3,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,0,50,54,240,230,2,1,2,1,2,500,C-BAG-23-037-03,3
market_centers_eq_districts0.53,POINT (85.57099914549423 27.940900802530052),53,9519,9,Bagmati,Central,23,038,Sindhupalchok,38,Kiwool,230038,C-BAG-23-038-09,85.571,27.9409,Sindhupalchok,Kiwool,C-BAG-23-038,Baspark,9,1,2,3,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,490,5,40,53,240,230,2,1,2,1,2,500,C-BAG-23-038-09,3
market_centers_eq_districts0.54,POINT (85.7591018680568 27.774400711024043),54,9526,7,Bagmati,Central,23,039,Sindhupalchok,39,Kubhinde,230039,C-BAG-23-039-07,85.7591,27.7744,Sindhupalchok,Kubhinde,C-BAG-23-039,Kubinde,7,1,2,2,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,350,8,45,52,240,230,2,1,2,2,1,500,C-BAG-23-039-07,3
market_centers_eq_districts0.55,POINT (85.65239715620385 27.793699264609415),55,9530,2,Bagmati,Central,23,040,Sindhupalchok,40,Kunchok,230040,C-BAG-23-040-02,85.6524,27.7937,Sindhupalchok,Kunchok,C-BAG-23-040,Bahunebeshi,2,1,2,3,2,Banepa,1,2,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,350,10,60,50,240,230,2,1,2,1,2,500,C-BAG-23-040-02,3
market_centers_eq_districts0.56,POINT (85.65789794943089 27.855499267277423),56,9543,6,Bagmati,Central,23,041,Sindhupalchok,41,Langarche,230041,C-BAG-23-041-06,85.6579,27.8555,Sindhupalchok,Lagarche,C-BAG-23-041,Tipani,6,1,2,3,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,250,8,70,52,240,230,2,1,2,1,2,500,C-BAG-23-041-06,3
market_centers_eq_districts0.57,POINT (85.82450103759288 27.666500091506066),57,9548,2,Bagmati,Central,23,042,Sindhupalchok,42,Lisankhu,230042,C-BAG-23-042-02,85.8245,27.6665,Sindhupalchok,Lisankhu,C-BAG-23-042,Lisankhu,2,1,2,3,3,Banepa,1,6,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,400,12,60,55,240,230,2,1,2,1,1,500,C-BAG-23-042-02,3
market_centers_eq_districts0.58,POINT (85.52790069586047 27.87569999735706),58,9565,1,Bagmati,Central,23,044,Sindhupalchok,44,Mahankal,230044,C-BAG-23-044-01,85.5279,27.8757,Sindhupalchok,Mahankal,C-BAG-23-044,Gaylthum,1,1,2,2,2,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,200,20,50,55,240,230,2,1,1,2,2,500,C-BAG-23-044-01,3
market_centers_eq_districts0.59,POINT (85.86979675311773 27.819700241473015),59,9582,9,Bagmati,Central,23,045,Sindhupalchok,45,Maneswnara,230045,C-BAG-23-045-09,85.8698,27.8197,Sindhupalchok,Maneswor,C-BAG-23-045,Golmathan,9,1,2,3,2,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,5,40,53,240,230,2,1,1,1,2,500,C-BAG-23-045-09,3
market_centers_eq_districts0.60,POINT (85.83869934070208 27.761199951216838),60,9588,6,Bagmati,Central,23,046,Sindhupalchok,46,Mankha,230046,C-BAG-23-046-06,85.8387,27.7612,Sindhupalchok,Mankha,C-BAG-23-046,Khadichaur,6,1,2,1,2,Banepa,1,5,3,"Rice,Oil,Lentil,Salt shop,etc",2,2,500,4,20,55,240,230,1,1,1,1,1,500,C-BAG-23-046-06,2
market_centers_eq_districts0.61,POINT (85.57409667951822 27.819000244265908),61,9606,6,Bagmati,Central,23,048,Sindhupalchok,48,Melamchi,230048,C-BAG-23-048-06,85.5741,27.819,Sindhupalchok,Melamchi,C-BAG-23-048,"Melamchi,",6,1,2,1,2,Banepa,1,15,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,400,7,40,53,240,230,1,1,1,2,1,500,C-BAG-23-048-06,2
market_centers_eq_districts0.62,POINT (85.6287994385433 27.83250045763009),62,9616,7,Bagmati,Central,23,050,Sindhupalchok,50,Nawalpur,230050,C-BAG-23-050-07,85.6288,27.8325,Sindhupalchok,Nawalpur,C-BAG-23-050,Nawalpur,7,1,2,2,2,Banepa,1,15,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,550,12,10,52,240,230,2,1,1,1,1,500,C-BAG-23-050-07,2
market_centers_eq_districts0.63,POINT (85.55269622774875 27.87999916053286),63,9620,2,Bagmati,Central,23,052,Sindhupalchok,52,Palchok,230052,C-BAG-23-052-02,85.5527,27.88,Sindhupalchok,Palchok,C-BAG-23-052,Palchok Mandir,2,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,10,6,56,240,230,2,1,2,1,2,500,C-BAG-23-052-02,3
market_centers_eq_districts0.64,POINT (85.8538970945753 27.745000839117495),64,9631,4,Bagmati,Central,23,051,Sindhupalchok,51,Pagretar,230051,C-BAG-23-051-04,85.8539,27.745,Sindhupalchok,Pagretar,C-BAG-23-051,Khadichaur,4,1,2,3,2,Banepa,1,12,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,350,15,5,52,240,230,2,1,1,1,2,500,C-BAG-23-051-04,3
market_centers_eq_districts0.65,POINT (85.78029632561498 27.886800765542944),65,9637,1,Bagmati,Central,23,053,Sindhupalchok,53,Pangtang,230053,C-BAG-23-053-01,85.7803,27.8868,Sindhupalchok,Pangtang,C-BAG-23-053,Katikke,1,1,2,3,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,450,9,8,55,240,230,2,1,2,1,2,500,C-BAG-23-053-01,3
market_centers_eq_districts0.66,POINT (85.58450317378248 27.767200469825866),66,9659,5,Bagmati,Central,23,017,Sindhupalchok,17,Fatakshila,230017,C-BAG-23-017-05,85.5845,27.7672,Sindhupalchok,Fatakshila,C-BAG-23-017,Sipaghat,5,1,2,1,3,Banepa,1,3,3,"Rice,Oil,Lentil,Salt shop,etc",2,2,600,5,20,52,240,230,1,1,1,1,2,500,C-BAG-23-017-05,3
market_centers_eq_districts0.67,POINT (85.92680358871473 27.903999328406314),67,9667,4,Bagmati,Central,23,019,Sindhupalchok,19,Fulpingkatti,230019,C-BAG-23-019-04,85.9268,27.904,Sindhupalchok,Fulpingkatti,C-BAG-23-019,Hindi 104 Kilo,4,1,2,1,3,Banepa,1,2,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,500,8,30,53,240,230,2,1,2,1,2,500,C-BAG-23-019-04,3
market_centers_eq_districts0.68,POINT (85.8057022093895 27.783199310100144),68,9678,6,Bagmati,Central,23,020,Sindhupalchok,20,Fulpingkot,230020,C-BAG-23-020-06,85.8057,27.7832,Sindhupalchok,Fulpingkot,C-BAG-23-020,Dhuskot,6,1,2,2,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,500,10,30,55,240,230,2,1,2,1,2,500,C-BAG-23-020-06,3
market_centers_eq_districts0.69,POINT (85.68620300286636 27.779600143232074),69,9684,3,Bagmati,Central,23,055,Sindhupalchok,55,Pipaldanda,230055,C-BAG-23-055-03,85.6862,27.7796,Sindhupalchok,Pipaldada,C-BAG-23-055,pipaldanda,3,1,2,2,2,Banepa,1,2,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,200,15,20,53,240,230,2,1,1,1,2,500,C-BAG-23-055-03,3
market_centers_eq_districts0.70,POINT (85.92269897497778 27.739299774065387),70,9697,7,Bagmati,Central,23,056,Sindhupalchok,56,Piskar,230056,C-BAG-23-056-07,85.9227,27.7393,Sindhupalchok,Piskar,C-BAG-23-056,Piskar,7,1,2,2,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,8,10,55,240,230,2,1,2,1,1,500,C-BAG-23-056-07,2
market_centers_eq_districts0.71,POINT (85.78720092818037 27.737899780550492),71,9708,9,Bagmati,Central,23,018,Sindhupalchok,18,Fulpingdanda,230018,C-BAG-23-018-09,85.7872,27.7379,Sindhupalchok,Fulpingdandagau,C-BAG-23-018,Balephi,9,1,2,1,2,Banepa,1,6,3,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,6,10,51,240,230,2,1,2,1,1,500,C-BAG-23-018-09,2
market_centers_eq_districts0.72,POINT (85.85959625216537 27.781299591203208),72,9712,4,Bagmati,Central,23,057,Sindhupalchok,57,Ramche,230057,C-BAG-23-057-04,85.8596,27.7813,Sindhupalchok,Ramche,C-BAG-23-057,Golmathang,4,1,2,3,3,Banepa,1,6,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,450,20,18,54,240,230,2,1,1,1,2,500,C-BAG-23-057-04,3
market_centers_eq_districts0.73,POINT (85.70659637492281 27.70470046995075),73,9721,4,Bagmati,Central,23,058,Sindhupalchok,58,Sangachok,230058,C-BAG-23-058-04,85.7066,27.7047,Sindhupalchok,Sangachok,C-BAG-23-058,Sangachok,4,1,2,1,2,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,250,25,20,52,240,230,1,1,1,2,1,500,C-BAG-23-058-04,3
market_centers_eq_districts0.74,POINT (85.71459960908476 27.752700805697657),74,9735,9,Bagmati,Central,23,059,Sindhupalchok,59,Sanusiruwari,230059,C-BAG-23-059-09,85.7146,27.7527,Sindhupalchok,Sanusiruwari,C-BAG-23-059,Sanusirwari,9,1,2,3,2,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,200,10,10,54,240,230,2,1,1,2,1,500,C-BAG-23-059-09,3
market_centers_eq_districts0.75,POINT (85.59339904802772 27.804899215426474),75,9749,5,Bagmati,Central,23,061,Sindhupalchok,61,Sikharpur,230061,C-BAG-23-061-05,85.5934,27.8049,Sindhupalchok,Sikharpur,C-BAG-23-061,Baguwa,5,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,15,20,52,240,230,2,1,1,1,2,500,C-BAG-23-061-05,3
market_centers_eq_districts0.76,POINT (85.68090057400235 27.850599288626313),76,9762,9,Bagmati,Central,23,064,Sindhupalchok,64,Sipal Kavre,230064,C-BAG-23-064-09,85.6809,27.8506,Sindhupalchok,SipalKavre,C-BAG-23-064,Basiri,9,1,2,3,3,Banepa,1,2,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,10,50,53,240,230,2,1,2,1,2,500,C-BAG-23-064-09,3
market_centers_eq_districts0.77,POINT (85.51959991470437 27.811100005860624),77,9765,3,Bagmati,Central,23,062,Sindhupalchok,62,Sindhukot,230062,C-BAG-23-062-03,85.5196,27.8111,Sindhupalchok,Sindhukot,C-BAG-23-062,Sindhupurana gau,3,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,240,14,40,52,240,230,2,1,2,1,2,500,C-BAG-23-062-03,3
market_centers_eq_districts0.78,POINT (85.61450195280293 27.75810050973081),78,9777,6,Bagmati,Central,23,063,Sindhupalchok,63,Sipa Pokhare,230063,C-BAG-23-063-06,85.6145,27.7581,Sindhupalchok,SipaPokhare,C-BAG-23-063,Pokhare,6,1,2,2,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,350,8,20,55,240,230,2,1,2,1,1,500,C-BAG-23-063-06,2
market_centers_eq_districts0.79,POINT (85.81189727743748 27.706800460672753),79,9784,4,Bagmati,Central,23,065,Sindhupalchok,65,Sunkhani,230065,C-BAG-23-065-04,85.8119,27.7068,Sindhupalchok,Sunkhani,C-BAG-23-065,Bhoteyamuna,4,1,2,3,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,250,6,20,53,240,230,2,1,2,1,2,500,C-BAG-23-065-04,3
market_centers_eq_districts0.80,POINT (85.71469879171593 27.829599380507034),80,9792,3,Bagmati,Central,23,066,Sindhupalchok,66,Syaule Bazar,230066,C-BAG-23-066-03,85.7147,27.8296,Sindhupalchok,SyauleBazar,C-BAG-23-066,Syaule bazar,3,1,2,2,2,Banepa,1,7,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,340,5,30,50,240,230,2,1,1,1,2,500,C-BAG-23-066-03,2
market_centers_eq_districts0.81,POINT (85.53540039061556 27.864999771022667),81,9805,7,Bagmati,Central,23,067,Sindhupalchok,67,Talamarang,230067,C-BAG-23-067-07,85.5354,27.865,Sindhupalchok,Talramarang,C-BAG-23-067,Talamarang,7,1,2,1,2,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,10,40,52,240,230,2,1,2,1,1,500,C-BAG-23-067-07,2
market_centers_eq_districts0.82,POINT (85.93479919392769 27.95140075703938),82,9811,4,Bagmati,Central,23,068,Sindhupalchok,68,Tatopani,230068,C-BAG-23-068-04,85.9348,27.9514,Sindhupalchok,Tatopani,C-BAG-23-068,Tatopani,4,1,2,1,2,Banepa,1,6,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,400,40,10,53,240,230,1,1,1,2,1,500,C-BAG-23-068-04,2
market_centers_eq_districts0.83,POINT (85.91809844988359 27.730199813970273),83,9820,4,Bagmati,Central,23,069,Sindhupalchok,69,Tauthali,230069,C-BAG-23-069-04,85.9181,27.7302,Sindhupalchok,Tauthali,C-BAG-23-069,Tauthali,4,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,150,20,50,52,240,230,2,1,2,1,2,500,C-BAG-23-069-04,3
market_centers_eq_districts0.84,POINT (85.88690185573608 27.745599747130655),84,9830,5,Bagmati,Central,23,070,Sindhupalchok,70,Tekanpur,230070,C-BAG-23-070-05,85.8869,27.7456,Sindhupalchok,Tekanpur,C-BAG-23-070,Bohagau,5,1,2,3,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,250,15,30,53,240,230,2,1,2,1,2,500,C-BAG-23-070-05,3
market_centers_eq_districts0.85,POINT (85.49859619166097 27.83160018949718),85,9836,2,Bagmati,Central,23,071,Sindhupalchok,71,Thakani,230071,C-BAG-23-071-02,85.4986,27.8316,Sindhupalchok,Thakani,C-BAG-23-071,Piple,2,1,2,3,2,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,450,10,20,50,240,230,2,1,2,1,2,500,C-BAG-23-071-02,3
market_centers_eq_districts0.86,POINT (85.65509796150178 27.940700530704987),86,9849,6,Bagmati,Central,23,073,Sindhupalchok,73,Thangpalkot,230073,C-BAG-23-073-06,85.6551,27.9407,Sindhupalchok,Thanpalkot,C-BAG-23-073,Manekharka,6,1,2,3,3,Banepa,1,6,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,450,15,40,54,240,230,2,1,2,1,1,500,C-BAG-23-073-06,3
market_centers_eq_districts0.87,POINT (85.63849639918953 27.91889953618471),87,9854,2,Bagmati,Central,23,072,Sindhupalchok,72,Thampal Chhap,230072,C-BAG-23-072-02,85.6385,27.9189,Sindhupalchok,Thampal Dhhap,C-BAG-23-072,Dhap,2,1,2,2,3,Banepa,1,2,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,16,50,54,240,230,2,1,2,1,2,500,C-BAG-23-072-02,3
market_centers_eq_districts0.88,POINT (85.77749633768588 27.6828002927993),88,9863,2,Bagmati,Central,23,074,Sindhupalchok,74,Thokarpa,230074,C-BAG-23-074-02,85.7775,27.6828,Sindhupalchok,Thokarpa,C-BAG-23-074,Bagbhairab,2,1,2,2,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,350,14,35,55,240,230,2,1,2,1,1,500,C-BAG-23-074-02,3
market_centers_eq_districts0.89,POINT (85.90329742473642 27.646099090500684),89,9878,8,Bagmati,Central,23,075,Sindhupalchok,75,Thulo Dhading,230075,C-BAG-23-075-08,85.9033,27.6461,Sindhupalchok,"Thulo,Dhading",C-BAG-23-075,Thulodhading,8,1,2,3,3,Banepa,1,2,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,250,10,30,53,240,230,2,2,2,1,2,500,C-BAG-23-075-08,3
market_centers_eq_districts0.90,POINT (85.86009979247149 27.723199844597218),90,9888,9,Bagmati,Central,23,076,Sindhupalchok,76,Thulo Pakhar,230076,C-BAG-23-076-09,85.8601,27.7232,Sindhupalchok,"Thulo, Pakhar",C-BAG-23-076,16 kilo,9,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,200,10,35,52,240,230,2,1,2,1,2,500,C-BAG-23-076-09,3
market_centers_eq_districts0.91,POINT (85.69809722940369 27.733600616475314),91,9889,1,Bagmati,Central,23,077,Sindhupalchok,77,Thulo Sirubari,230077,C-BAG-23-077-01,85.6981,27.7336,Sindhupalchok,ThuloSirubari,C-BAG-23-077,Kotdanda,1,1,2,2,2,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,250,15,35,52,240,230,2,1,1,1,2,500,C-BAG-23-077-01,2
