FID,the_geom,OBJECTID_1,OBJECTID,WNO,ZONE_NAME,REGION_12,DIST_ID,VDC_ID,DISTRICTS,VDC_CODE,VDC,DISVDCODE,P_CODE,X,Y,DISTRICT,VDC_NAME,P_CODEV,Market,Wardno,Damage,Recovery,Phyacces,Tranflow,Wholesal,Timfrwho,Traderno,building,comodity,Suffice,Capacity,Avgsalric,Avgsalent,Avgsaloil,Pricrice,Pricoil,Priclnt,Bankfin,credcop,Remagebt,Tel,Police,Wagrate,PCODEW,Mrktsze
market_centers_eq_districts0.259,POINT (84.62139892571992 28.000400543550313),259,16875,2,Gandaki,Western,36,050,Gorkha,50,Gorkha Municipality,360050,W-GAN-36-050-02,84.6214,28.0004,Gorkha,PrithbinarayanN.P.,W-GAN-36-050,Gorkha,2,3,2,1,2,Chitawan,1,150,3,Food and non-food,2,2,200,40,20,55,240,170,1,1,1,2,2,510,W-GAN-36-050-02,1
market_centers_eq_districts0.260,POINT (84.64119720468733 27.924999237424913),260,16930,8,Gandaki,Western,36,058,Gorkha,58,Taklung,360058,W-GAN-36-058-08,84.6412,27.925,Gorkha,Taklung,W-GAN-36-058,Tinmane,8,2,2,2,2,Gorkha,1,3,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,2,510,W-GAN-36-058-08,3
market_centers_eq_districts0.261,POINT (84.67790222191007 27.903699874849394),261,16941,3,Gandaki,Western,36,062,Gorkha,62,Tanglichok,360062,W-GAN-36-062-03,84.6779,27.9037,Gorkha,Tanglichok,W-GAN-36-062,Batase,3,2,2,2,2,Gorkha,1,3,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,1,510,W-GAN-36-062-03,3
market_centers_eq_districts0.262,POINT (84.57700347922724 28.102199554365995),262,16954,7,Gandaki,Western,36,064,Gorkha,64,Thalajung,360064,W-GAN-36-064-07,84.577,28.1022,Gorkha,Thalajung,W-GAN-36-064,Nayabazar,7,1,2,2,2,Gorkha,1,7,2,Food and non-food,2,3,50,10,5,56,240,170,2,2,2,1,2,510,W-GAN-36-064-07,2
market_centers_eq_districts0.263,POINT (84.83640289327894 28.10569953950221),263,16961,5,Gandaki,Western,36,065,Gorkha,65,Thumi,360065,W-GAN-36-065-05,84.8364,28.1057,Gorkha,Thumi,W-GAN-36-065,Arkhet,5,1,2,2,2,Dhading/Chitawan,1,15,2,Food and non-food,1,2,50,10,5,60,250,175,2,2,2,1,1,510,W-GAN-36-065-05,2
market_centers_eq_districts0.264,POINT (84.71959686310481 28.00819969186233),264,35725,7,Gandaki,Western,36,005,Gorkha,5,Asrang,360005,W-GAN-36-005-07,84.7196,28.0082,Gorkha,Asrang,W-GAN-36-005,Thati,7,1,2,2,2,Gorkha,1,5,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,2,510,W-GAN-36-005-07,2
market_centers_eq_districts0.265,POINT (84.62390136755414 28.044500350510816),265,35740,5,Gandaki,Western,36,024,Gorkha,24,Gankhu,360024,W-GAN-36-024-05,84.6239,28.0445,Gorkha,Gakhu,W-GAN-36-024,Naya  Saangu,5,2,2,2,2,Gorkha,1,4,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,2,510,W-GAN-36-024-05,3
market_centers_eq_districts0.266,POINT (84.7267990108657 28.041299819830897),266,35761,9,Gandaki,Western,36,043,Gorkha,43,Masel,360043,W-GAN-36-043-09,84.7268,28.0413,Gorkha,Masel,W-GAN-36-043,Ghyampesal,9,1,2,2,2,Gorkha,1,7,2,Food and non-food,2,2,50,10,5,57,240,170,1,1,1,1,1,510,W-GAN-36-043-09,2
market_centers_eq_districts0.267,POINT (84.64009857219139 28.021400451669535),267,35764,1,Gandaki,Western,36,046,Gorkha,46,Nareshwor,360046,W-GAN-36-046-01,84.6401,28.0214,Gorkha,Nareshwor,W-GAN-36-046,Nareswor,1,1,2,2,2,Gorkha,1,5,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,2,510,W-GAN-36-046-01,2
market_centers_eq_districts0.268,POINT (84.73619842541706 28.073900222417365),268,35774,5,Gandaki,Western,36,048,Gorkha,48,Panchkhuwa Deurali,360048,W-GAN-36-048-05,84.7362,28.0739,Gorkha,Panchkhuwadeurali,W-GAN-36-048,Deurali Bazaar,5,2,2,2,2,Gorkha,1,20,2,Food and non-food,2,3,100,20,10,55,240,170,2,1,2,1,2,510,W-GAN-36-048-05,2
market_centers_eq_districts0.269,POINT (84.63880157443316 28.09530067418683),269,35801,3,Gandaki,Western,36,054,Gorkha,54,Shreenathkot,360054,W-GAN-36-054-03,84.6388,28.0953,Gorkha,Shreenathkot,W-GAN-36-054,Gohare,3,2,2,2,2,Gorkha,1,3,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,2,510,W-GAN-36-054-03,3
market_centers_eq_districts0.270,POINT (84.67919921876899 28.097600936733897),270,35815,1,Gandaki,Western,36,060,Gorkha,60,Takumajh Lakuribot,360060,W-GAN-36-060-01,84.6792,28.0976,Gorkha,Takumajhalakuribot,W-GAN-36-060,Lakuribot,1,2,2,2,2,Gorkha,1,7,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,2,510,W-GAN-36-060-01,2
market_centers_eq_districts0.271,POINT (84.68009948690184 28.036399841179787),271,35829,4,Gandaki,Western,36,063,Gorkha,63,Taple,360063,W-GAN-36-063-04,84.6801,28.0364,Gorkha,Taple,W-GAN-36-063,Ahale Bhanjyang,4,2,2,2,2,Gorkha,1,10,3,Food and non-food,2,3,50,10,5,55,240,170,2,2,1,1,2,510,W-GAN-36-063-04,2
market_centers_eq_districts0.272,POINT (84.70269775379836 28.088899612826935),272,35837,4,Gandaki,Western,36,059,Gorkha,59,Takukot,360059,W-GAN-36-059-04,84.7027,28.0889,Gorkha,Takukot,W-GAN-36-059,Palkhu,4,2,2,2,2,Gorkha,1,5,2,Food and non-food,2,3,50,10,5,56,240,170,2,2,2,1,1,510,W-GAN-36-059-04,2
market_centers_eq_districts0.273,POINT (84.74340057407727 27.988300323701026),273,35854,3,Gandaki,Western,36,011,Gorkha,11,Borlang,360011,W-GAN-36-011-03,84.7434,27.9883,Gorkha,Borlang,W-GAN-36-011,Hatiya,3,2,2,2,2,Gorkha,1,15,2,Food and non-food,2,3,50,10,5,55,240,170,2,2,2,1,2,510,W-GAN-36-011-03,2
market_centers_eq_districts0.274,POINT (84.48040008569546 28.04579925573114),274,35868,9,Gandaki,Western,36,047,Gorkha,47,Palungtar,360047,W-GAN-36-047-09,84.4804,28.0458,Gorkha,Palumtar,W-GAN-36-047,Thaatipokhari,9,2,2,2,2,Dumre (Tanahu)/Chitawan,1,20,3,Food and non-food,1,2,50,10,5,55,240,170,1,1,1,2,1,510,W-GAN-36-047-09,2
